City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,maragogi,100,BR,1517354636,91,-9.01,-35.22,77.71,8.72
88,yulara,40,AU,1517349600,88,-25.24,130.99,68.0,10.29
89,arraial do cabo,80,BR,1517354638,100,-22.97,-42.02,71.68,6.93
90,tocopilla,24,CL,1517354706,90,-22.09,-70.2,66.1,4.92
91,cape town,20,ZA,1517353200,72,-33.93,18.42,66.2,21.92
92,suluq,75,LY,1517353020,93,31.67,20.25,48.2,3.8
93,touros,92,BR,1517354712,85,-5.2,-35.46,80.5,12.41
94,manokwari,36,ID,1517354713,100,-0.87,134.08,81.31,7.61
95,alofi,92,NU,1517354684,100,-19.06,-169.92,79.73,21.92
96,lavrentiya,0,RU,1517354714,100,65.58,-170.99,20.56,7.05
97,khatanga,68,RU,1517354714,71,71.98,102.47,-15.99,3.47
98,itarema,36,BR,1517354715,91,-2.92,-39.92,77.84,9.4
99,thompson,90,CA,1517352840,70,55.74,-97.86,-4.01,14.99
100,coahuayana,64,MX,1517354716,33,18.62,-100.35,72.22,0.89
101,volga,1,US,1517354100,72,44.32,-96.93,32.0,14.99
102,haines junction,76,CA,1517354718,74,60.75,-137.51,-5.46,2.57
103,ergani,0,TR,1517352600,92,38.27,39.76,30.2,4.7
104,gurdaha,0,IN,1517351400,87,22.73,88.76,60.8,3.69
105,carnarvon,0,ZA,1517354719,56,-30.97,22.13,65.38,16.78
106,punta arenas,40,CL,1517353200,92,-53.16,-70.91,50.0,18.34
107,saldanha,0,PT,1517354720,81,41.42,-6.55,25.01,3.69
108,bambous virieux,40,MU,1517353200,83,-20.34,57.76,80.6,5.82
109,derzhavinsk,8,KZ,1517354721,66,51.1,66.31,-9.06,11.97
110,sonoita,1,US,1517353080,7,31.68,-110.66,78.8,3.36
111,changji,88,CN,1517354722,78,32.07,116.17,26.63,7.94
112,nikolskoye,75,RU,1517351400,85,59.7,30.79,21.2,8.95
113,kahului,20,US,1517352960,69,20.89,-156.47,78.8,19.46
114,balkanabat,0,TM,1517354724,70,39.51,54.36,8.95,2.01
115,coronado,20,PA,1517349600,62,8.53,-79.9,86.0,13.87
116,camocim,56,BR,1517354725,90,-2.9,-40.84,77.93,10.4
117,saskylakh,68,RU,1517354736,46,71.97,114.09,-28.72,4.03
118,broken hill,32,AU,1517354744,53,-31.97,141.45,65.47,20.69
119,praia da vitoria,75,PT,1517353200,72,38.73,-27.07,59.0,11.97
120,mehran,0,IR,1517353200,85,33.12,46.17,24.8,4.7
121,port elizabeth,90,US,1517353920,92,39.31,-74.98,30.2,16.11
122,praia,90,BR,1517349600,94,-20.25,-43.81,68.0,3.36
123,mogadishu,44,SO,1517354753,100,2.04,45.34,77.03,23.26
124,labuhan,36,ID,1517354773,67,-2.54,115.51,79.46,0.89
125,beira,40,ES,1517353200,100,43.2,-8.36,41.0,3.36
126,nioro,12,GM,1517354775,31,13.79,-15.05,74.29,10.96
127,nayoro,76,JP,1517354775,75,44.36,142.46,20.56,6.6
128,petropavlovsk-kamchatskiy,90,RU,1517351400,100,53.05,158.65,30.2,4.47
129,jinxiang,92,CN,1517354786,67,35.07,116.31,22.94,2.91
130,iracoubo,80,GF,1517354788,80,5.48,-53.21,78.43,5.7
131,kalakamati,32,BW,1517354789,93,-20.59,27.31,63.4,2.91
132,jacqueville,0,CI,1517353200,94,5.21,-4.42,80.6,3.36
133,causapscal,64,CA,1517354790,64,48.35,-67.23,3.14,7.38
134,mahebourg,40,MU,1517353200,83,-20.41,57.7,80.6,5.82
135,los aquijes,0,PE,1517353200,69,-14.1,-75.69,75.2,23.04
136,narragansett,90,US,1517352960,100,41.45,-71.45,37.4,6.93
137,sao filipe,0,CV,1517354793,99,14.9,-24.5,69.43,20.8
138,tunceli,0,TR,1517352600,92,39.11,39.55,30.2,4.7
139,huarmey,12,PE,1517354793,68,-10.07,-78.15,70.87,3.36
140,deputatskiy,0,RU,1517354794,60,69.3,139.9,-34.57,4.03
141,san cristobal,75,EC,1517353200,52,-0.39,-78.55,64.4,12.75
142,georgetown,0,GY,1517353200,83,6.8,-58.16,78.8,9.17
143,rio gallegos,75,AR,1517353200,58,-51.62,-69.22,53.6,27.51
